Category,Rank,College,# of Undergraduate Alumni Volunteers
large,1,University of Wisconsinâ€“Madison,87
large,2,University of Washington,73
large,3,University of Minnesota,70
large,4,University of Michigan,60
large,5,University of Florida,58
large,6,Colorado State University,54
large,7,University of North Carolina at Chapel Hill,51
large,8,The Pennsylvania State University,50
large,9,The Ohio State University,49
large,10,Michigan State University,48
large,11,University of Colorado Boulder,47
large,11,University of Oregon,47
large,13,"University of California, Los Angeles",43
large,13,Arizona State University,43
large,15,"University of Maryland, C ollege Park",42
large,15,University of Virginia,42
large,17,James Madison University,41
large,18,"University of California, Santa Barbara",40
large,18,University of South Florida,40
large,20,"University of California, Davis",39
large,21,North Carolina State Universi ty,37
large,21,Indiana University Bloom ington,37
large,21,University of Illinois at Urb ana-Champaign,37
large,21,University of Massachusetts Amherst,37
large,25,University of Texas at Aus tin,36
meidum,1,American University,54
meidum,2,Western Washington University,48
meidum,3,The George Washington University,45
meidum,4,The College of William & Mary,36
meidum,5,Humboldt State University,33
meidum,6,Georgetown University,31
meidum,7,University of Montana,30
meidum,8,University of Vermont,29
meidum,8,Emory University,29
meidum,10,Tulane University,26
meidum,11,Cornell University,24
meidum,12,College of Charleston,20
meidum,13,Boston College,19
meidum,14,Loyola University Chicago,18
meidum,14,SUNY Geneseo,18
meidum,14,Howard University,18
meidum,14,University of Hawai'i at MÄÅnoa,18
meidum,14,University of San Diego,18
meidum,14,University of Wisconsin-Stevens Point,18
meidum,20,Fordham University,17
meidum,21,Montana State University,15
meidum,21,University of Rhode Island,15
meidum,21,Northwestern University,15
meidum,21,Tufts University,15
meidum,21,University of New Hampshire,15
small,1,Denison University,16
small,2,University of Mary Washington,13
small,2,University of Puget Sound,13
small,4,St. Mary's College of Maryl and,12
small,4,Whitworth University,12
small,4,Hobart and William Smith Colleges,12
small,7,Colorado College,11
small,7,Smith College,11
small,7,Spelman College,11
small,7,St. Lawrence University,11
small,7,The Evergreen State College,11
small,7,Oberlin College,11
small,13,Carleton College,10
small,13,Simmons College,10
small,13,Bowdoin College,10
small,13,Connecticut College,10
small,13,Kalamazoo College,10
small,13,Eckerd College,10
small,13,SUNY College of Environmental Science and Forestry,10
small,13,Wellesley College,10
small,13,Grinnell College,10
small,22,Hamilton College,9
small,22,Loyola University New Orleans,9
small,22,Whitman College,9
small,22,College of Wooster,9
small,22,Rice University,9